movie_id,title,genres,release_date,poster_link
568124,Encanto,Animation|Comedy|Family|Fantasy,2021-10-13,https://image.tmdb.org/t/p/original/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg
1020006,Priscilla,Romance|Drama,2023-10-27,https://image.tmdb.org/t/p/original/uDCeELWWpsNq7ErM61Yuq70WAE9.jpg
808,Shrek,Animation|Comedy|Fantasy|Adventure|Family,2001-05-18,https://image.tmdb.org/t/p/original/iB64vpL3dIObOtMZgX3RqdVdQDc.jpg
507086,Jurassic World Dominion,Adventure|Action|Science Fiction,2022-06-01,https://image.tmdb.org/t/p/original/kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg
216015,Fifty Shades of Grey,Drama|Romance|Thriller,2015-02-11,https://image.tmdb.org/t/p/original/63kGofUkt1Mx0SIL4XI4Z5AoSgt.jpg
807172,The Exorcist: Believer,Horror,2023-10-04,https://image.tmdb.org/t/p/original/qVKirUdmoex8SdfUk8WDDWwrcCh.jpg
297802,Aquaman,Action|Adventure|Fantasy,2018-12-07,https://image.tmdb.org/t/p/original/zdw7Wf97vsQ0YnGomxDqfcEdUjX.jpg
12445,Harry Potter and the Deathly Hallows: Part 2,Fantasy|Adventure,2011-07-12,https://image.tmdb.org/t/p/original/c54HpQmuwXjHq2C9wmoACjxoom3.jpg
937746,Io Capitano,Adventure|Drama,2023-09-07,https://image.tmdb.org/t/p/original/3XhtyFEGrRjvgz11OEWZtXsGSV1.jpg
659495,Good Mother 2,Romance,2018-10-19,https://image.tmdb.org/t/p/original/buCKO8y7TUmvS4nErMz0RdiWjRI.jpg
1035057,Three Day Millionaire,Comedy|Crime,2022-11-25,https://image.tmdb.org/t/p/original/oYTsJP7Nhqt20VTFrsC7tVxOL2v.jpg
956262,The Kitchen,Science Fiction|Thriller|Drama|Adventure,2023-10-15,https://image.tmdb.org/t/p/original/tV0hK1BiqYrYlehChv4WJXIWgmZ.jpg
726209,Leave the World Behind,Drama|Mystery|Thriller|Science Fiction,2023-11-22,https://image.tmdb.org/t/p/original/29rhl1xopxA7JlGVVsf1UHfYPvN.jpg
866038,Apache Junction,Western|Action|Crime,2021-09-24,https://image.tmdb.org/t/p/original/sYkElIUzn9NkVFufpc2oSQlfVsS.jpg
829560,The Next 365 Days,Romance|Drama,2022-08-19,https://image.tmdb.org/t/p/original/6FsGeIp7heHm5eh4tIxTzHIRxmt.jpg
